Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,ML_Selected,Significant,Validated
PARP2,-1.000382679513183,-0.30061947826086954,-1.698484028528739,0.09054805712127019,0.2259831852941102,-4.788207353465778,FALSE,FALSE,FALSE
MAPK14,-0.15466772954699134,0.00675931884057971,-1.6982699884778114,0.09058824045787377,0.22601614414754456,-4.78855210802245,FALSE,FALSE,FALSE
RORB,-0.1661829043272481,-0.022637228260869568,-1.698222222029237,0.09059726453445299,0.22601614414754456,-4.788629159416589,FALSE,FALSE,FALSE
ARMC1,-0.24922364908722108,-0.017865021739130443,-1.6980559892177587,0.0906287620255344,0.2260340943278359,-4.788897481305451,FALSE,FALSE,FALSE
KRAS,-0.22088167342799203,-0.04023152898550725,-1.6979343464871206,0.09065167491413856,0.2260340943278359,-4.789093502920549,FALSE,FALSE,FALSE
CPLX1,-7.450850524002709,-0.9274530362318841,-1.6978996634220345,0.0906584659951403,0.2260340943278359,-4.7891499537625535,FALSE,FALSE,FALSE
HUWE1,0.5348697755240033,-0.01935605797101449,1.6973428056168351,0.09076377898105872,0.22624041156336971,-4.790047888592388,FALSE,FALSE,FALSE
CLK1,3.3672801869506435,1.0442568369565217,1.6971579907456147,0.09079875304049657,0.22624041156336971,-4.790345839419387,FALSE,FALSE,FALSE
RIMS3,-2.086447551048006,-0.4588163043478261,-1.6971522807268025,0.09079983376850995,0.22624041156336971,-4.790355044368068,FALSE,FALSE,FALSE
IQCC,-0.07546484212305607,-0.008560445652173914,-1.697038495032188,0.09082112757415803,0.22624041156336971,-4.790537935645293,FALSE,FALSE,FALSE
PABIR2,-0.2980183286004057,-0.04820682608695652,-1.696985636297297,0.09083130891135288,0.22624041156336971,-4.790623520864675,FALSE,FALSE,FALSE
SOAT1,0.09265404732927657,0.011168442028985509,1.6968533610400556,0.09085617999825024,0.22625747640976399,-4.790836349026584,FALSE,FALSE,FALSE
B3GAT3,-0.9287260263691696,-0.18216787681159421,-1.696320383987382,0.09095739699802054,0.22644459895358088,-4.791695796174065,FALSE,FALSE,FALSE
ADA,0.26414540534144726,0.022230235507246378,1.6962670926972385,0.09096739065959397,0.22644459895358088,-4.791781429618186,FALSE,FALSE,FALSE
NFU1,-0.8874964347532128,-0.1916253768115942,-1.6958639069967543,0.0910439487210668,0.22659025176248065,-4.792431217992195,FALSE,FALSE,FALSE
XRCC6,-1.4259949087221089,-0.30877076086956523,-1.6954340113654423,0.09112552127562538,0.22667705468870636,-4.793123637999917,FALSE,FALSE,FALSE
SNX18,0.111331167004733,0.013961942028985508,1.6954193779874243,0.09112805446775782,0.22667705468870636,-4.793146675686803,FALSE,FALSE,FALSE
MT.CYB,392.1981542498312,-39.123348336956525,1.6953737318277033,0.09113696401989985,0.22667705468870636,-4.793220714714377,FALSE,FALSE,FALSE
VPS13D,0.6523276071670052,0.08649376811594203,1.6952995928129104,0.09115103927391513,0.22667705468870636,-4.7933401066853625,FALSE,FALSE,FALSE
CPSF1,3.016318530087899,0.5641847246376812,1.6949985760147939,0.09120820521206564,0.2267542722147173,-4.793824805576943,FALSE,FALSE,FALSE
VPS53,-0.3217360966869509,-0.012586086956521742,-1.6949284600865302,0.09122151364343818,0.2267542722147173,-4.793937669924018,FALSE,FALSE,FALSE
CAPN1,0.6421297721433413,0.08508468840579711,1.694850861592962,0.09123626817686777,0.2267542722147173,-4.794062625343786,FALSE,FALSE,FALSE
SLC12A6,-0.1306988877620013,-0.010832507246376813,-1.694532439985214,0.09129654146495197,0.2268591677486517,-4.794574687561518,FALSE,FALSE,FALSE
HGSNAT,-0.5573619283299527,-0.11811496376811595,-1.6943037102655858,0.09134027746243076,0.22692293704358538,-4.79494336062965,FALSE,FALSE,FALSE
ARMCX4,-0.2728911795131844,-0.041276032608695654,-1.694162041529192,0.0913671152479369,0.22694470802237304,-4.795171123707254,FALSE,FALSE,FALSE
TRIM5,0.14281818323191336,0.0393667463768116,1.6939904991303456,0.09139961502136083,0.22698053129118012,-4.7954468779633315,TRUE,FALSE,FALSE
POLK,-0.11464492968221775,0.010114623188405796,-1.6938581784076103,0.09142479582540182,0.22699816815972815,-4.795659791224974,FALSE,FALSE,FALSE
