Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,ML_Selected,Significant,Validated
DENND2A,1.1352210379369139,0.17507497076023393,2.5710033667428145,0.010997683200583749,0.08462808441613448,-2.997864130390021,FALSE,FALSE,FALSE
PRX,0.6405624676044339,0.16241002339181287,2.5706230243713404,0.01100922309718398,0.08462808441613448,-2.998757759769506,FALSE,FALSE,FALSE
ZNFX1,0.3128798674339302,0.0693667485380117,2.5706176360135586,0.011009168201250457,0.08462808441613448,-2.9987596017190428,FALSE,FALSE,FALSE
MINDY1,1.1765713934356363,0.1871179356725146,2.570494183355496,0.011013243862373666,0.08462808441613448,-2.999065852718292,FALSE,FALSE,FALSE
SHC1,-1.4415365912190974,-0.384437134502924,-2.57015401108162,0.011023650532044018,0.08465624225097534,-2.999868570196785,FALSE,FALSE,FALSE
ZNF33A,0.22872325660699064,0.04190586549707602,2.569640047735515,0.011039089044006245,0.0847229841299159,-3.0010663193006963,FALSE,FALSE,FALSE
CDK19,0.8509442826086963,0.17806501754385964,2.5687622316023075,0.01106632020084755,0.08488009556618316,-3.003151785861921,FALSE,FALSE,FALSE
FOXJ1,0.8479692757885764,0.2267713216374269,2.568159140702298,0.011084855900317174,0.08495997178156392,-3.004573971876272,FALSE,FALSE,FALSE
FAM124A,0.22634667604433076,0.03399244444444445,2.567973425088726,0.011090267103375538,0.08495997178156392,-3.0049970187282207,FALSE,FALSE,FALSE
ETFDH,-0.7595056159420294,-0.13230998830409357,-2.5673996631672416,0.011108237644961804,0.08504575114032953,-3.006364505192998,FALSE,FALSE,FALSE
ASTN2,0.5369649974424565,0.0654280701754386,2.566896468280983,0.01112353007950677,0.08511093459980927,-3.007539625120345,FALSE,FALSE,FALSE
CYLD,0.31982560017050315,0.02515597660818714,2.5660459181163997,0.01114972139447324,0.08521919526114971,-3.009540078710022,FALSE,FALSE,FALSE
SSU72,2.796006079710141,0.9867475204678362,2.5658451900507564,0.011156232473082912,0.08521919526114971,-3.010027787096011,FALSE,FALSE,FALSE
PPIH,-0.8390408951406664,-0.2963837368421053,-2.5655972733331125,0.011163904133677533,0.08521919526114971,-3.010611840281062,FALSE,FALSE,FALSE
ANKRD42,-0.4718530993179881,-0.09545398830409357,-2.565557640560145,0.011164827668412813,0.08521919526114971,-3.010690431153266,FALSE,FALSE,FALSE
CDRT4,-0.5840767693947146,-0.08395398830409356,-2.5646791745763435,0.011192197081438536,0.08537620082292968,-3.0127665950170255,FALSE,FALSE,FALSE
DIP2C,0.37853294458653086,0.06651114619883042,2.564304364038942,0.011203685369419215,0.08538631902225492,-3.013642151486654,FALSE,FALSE,FALSE
SPSB1,0.35179971526001697,0.01933908187134503,2.5641204485798603,0.01120939783183116,0.08538631902225492,-3.0140751978430664,FALSE,FALSE,FALSE
EFNB2,0.35840276982097274,0.07554978947368421,2.563974759591408,0.011213924822212359,0.08538631902225492,-3.014418216036599,FALSE,FALSE,FALSE
BEX3,-25.33778342838874,-4.544254017543859,-2.5629936729284317,0.011244757213607362,0.0855380415546591,-3.016742376216413,FALSE,FALSE,FALSE
ZSCAN1,-0.4563695997442455,-0.17714091228070175,-2.562896649983297,0.011247475836790553,0.0855380415546591,-3.0169560184642807,FALSE,FALSE,FALSE
ZNF318,0.1546408729752771,0.05059395321637427,2.5620357494060437,0.011274331803109649,0.08567146151152263,-3.0189818180112824,FALSE,FALSE,FALSE
PANK3,-0.22735785336743408,-0.011075327485380114,-2.5616931888365166,0.01128503401516748,0.08567146151152263,-3.019787728538061,FALSE,FALSE,FALSE
EXOC1,-0.573644204177324,-0.1248052865497076,-2.561682797745401,0.011285488797392357,0.08567146151152263,-3.019818425283688,FALSE,FALSE,FALSE
SEC22C,0.9310147566069922,0.06366991812865498,2.55949549335802,0.011354216680355512,0.08610067915287709,-3.02497028902213,FALSE,FALSE,FALSE
MCUR1,0.7530863452685437,0.10173887719298245,2.5594468886567747,0.011355744239978054,0.08610067915287709,-3.0250845370132065,FALSE,FALSE,FALSE
ZNF14,-0.13412994245524276,-0.00895542105263158,-2.5586654903065233,0.011380021174389897,0.086232677046252,-3.026906395234077,FALSE,FALSE,FALSE
DENND2B,0.9793227647058806,0.1699611052631579,2.5573654161487647,0.011421334200651957,0.08644945075633444,-3.0299752742400945,FALSE,FALSE,FALSE
ZFYVE16,-0.6075318265132149,-0.086609608187134507,-2.5573278920833955,0.011422398757945111,0.08644945075633444,-3.030057673049484,FALSE,FALSE,FALSE
ZDHHC7,0.3006138226768963,0.011751450292397665,2.556776988754421,0.01143963060542751,0.08648749699965622,-3.0313426733349624,FALSE,FALSE,FALSE
JKAMP,-0.8432685055413487,-0.009675643274853816,-2.5567370308428665,0.011441202016281378,0.08648749699965622,-3.031451040435638,FALSE,FALSE,FALSE
TXNDC9,-0.47914355924978724,-0.04274495906432749,-2.555600819679518,0.011476904626146511,0.08670518320450998,-3.034104452836056,FALSE,FALSE,FALSE
ZFR,1.2368287425404942,0.24621832163742688,2.5551625128965894,0.01149111993266321,0.08676037394739583,-3.035147335402908,FALSE,FALSE,FALSE
THOC6,0.4289447229326514,0.06358459064327485,2.554819249135348,0.011501720509286316,0.08676856899510464,-3.035938410034391,FALSE,FALSE,FALSE
SIRT1,0.27544361253196925,0.09358868421052631,2.554683832675973,0.011506026391912172,0.08676856899510464,-3.036256176186746,FALSE,FALSE,FALSE
TARBP1,-3.442127315430524,-0.6357168654970761,-2.554303415754401,0.011518438567203288,0.0868100328030039,-3.0371632428153177,FALSE,FALSE,FALSE
CHGA,25.73150476513213,3.8424019064327486,2.5528084117381735,0.01156611721968971,0.08704285450528004,-3.0406698417496383,FALSE,FALSE,FALSE
HOOK3,-0.523786307757886,-0.10421586549707602,-2.55278522622849,0.0115666172572696,0.08704285450528004,-3.0407129614243456,FALSE,FALSE,FALSE
ZCCHC12,-1.1936436973572042,-0.04233308187134502,-2.5526829095510406,0.011570127761174926,0.08704285450528004,-3.0409641266114322,FALSE,FALSE,FALSE
ISCU,-7.769901218243822,0.161328239766082,-2.551866961790685,0.01159623251703373,0.08713705966907986,-3.04287708319972,FALSE,FALSE,FALSE
TRIL,1.9866544416027305,0.09621964327485381,2.5517220445545554,0.011600874388382938,0.08713705966907986,-3.0432167768237184,FALSE,FALSE,FALSE
METTL7B,0.5524235144927542,0.057034099415204674,2.5516350286848386,0.011603469557717547,0.08713705966907986,-3.0434117628870756,FALSE,FALSE,FALSE
NBDY,-0.5684990387894283,-0.10610899415204678,-2.5513029673961873,0.011614126567896652,0.08716495707502113,-3.044190614097201,FALSE,FALSE,FALSE
PFDN1,-2.0404167472293273,-0.3166131695906433,-2.550822938475905,0.011629711014282392,0.08719041595191405,-3.045323931099932,FALSE,FALSE,FALSE
MAP1LC3A,-13.708250666666665,-2.694811274853801,-2.5507701199078516,0.011631407034043965,0.08719041595191405,-3.045447695939622,FALSE,FALSE,FALSE
CLK4,-0.6407673388746814,0.11607319298245614,-2.5501245275362114,0.011652071167864814,0.0872932014222617,-3.0469563749363027,FALSE,FALSE,FALSE
RHOU,2.0325252890025585,0.08357182456140348,2.549555567802497,0.011670467783727333,0.08737888699611235,-3.0482929907963436,FALSE,FALSE,FALSE
LRRC58,0.38296349317988093,0.10528390058479532,2.548956985544576,0.011689451174573928,0.08744969457152095,-3.0496804851100765,FALSE,FALSE,FALSE
PPM1J,-0.5385219492753618,-0.005062836257309938,-2.54882337163775,0.011693854506656871,0.08744969457152095,-3.0499976353029936,FALSE,FALSE,FALSE
POU3F3,1.0620431295822694,0.4056442222222222,2.548005596846125,0.01172048630105013,0.08755332940647043,-3.0519222457458817,FALSE,FALSE,FALSE
B3GALNT1,-0.6073775861040075,-0.09203659064327485,-2.5479656031669333,0.011721658707572219,0.08755332940647043,-3.052010311299853,FALSE,FALSE,FALSE
AMOT,1.0918070647911347,0.12527240935672515,2.547214987711441,0.011746073555908516,0.08766401676307632,-3.053772671818538,FALSE,FALSE,FALSE
BFSP1,-0.1980557203751068,-0.03540748538011696,-2.5470295828523466,0.011751769842969889,0.08766401676307632,-3.0541922611258867,FALSE,FALSE,FALSE
MED1,0.17131202600170498,-0.0068447777777777795,2.546855191245461,0.011757423082910204,0.08766401676307632,-3.054600331773487,FALSE,FALSE,FALSE
ORMDL1,-1.2758557080136435,-0.07993088304093565,-2.5459529355683506,0.011787022173529301,0.08783255217260172,-3.056725415549274,FALSE,FALSE,FALSE
TRIM7,-0.2952953452685426,0.0319281052631579,-2.5453026382354502,0.011807859445107668,0.08793359631230642,-3.0582321185253636,FALSE,FALSE,FALSE
NFE2L1,2.036643312020461,0.20098508771929824,2.5450819862571845,0.011815355486216352,0.08793359631230642,-3.058762333265676,FALSE,FALSE,FALSE
VBP1,-0.8685534390451826,-0.24519336257309943,-2.544844093583099,0.011823105086207288,0.08793359631230642,-3.0593185888495515,FALSE,FALSE,FALSE
MAVS,0.5236657459505544,0.027544748538011688,2.5446682077841647,0.011828595426209424,0.08793359631230642,-3.0597188047398576,FALSE,FALSE,FALSE
SCAMP2,1.1088088235294113,0.08153240350877194,2.5440335580167934,0.01184954327485542,0.08799826436892921,-3.061213473757002,FALSE,FALSE,FALSE
PALMD,-0.38075607502131287,-0.10344342690058479,-2.5439698348144515,0.01185131132907449,0.08799826436892921,-3.0613482291417795,FALSE,FALSE,FALSE
EIF3M,-1.2797838179880645,-0.47568944444444444,-2.543155026942761,0.01187825907277017,0.08813763679718278,-3.0632666907320574,FALSE,FALSE,FALSE
UQCRB,-8.033672942455228,-2.509226192982456,-2.5427702803470806,0.011890854546847743,0.08813763679718278,-3.064165676813776,FALSE,FALSE,FALSE
IPO8,0.38317464791133865,0.06939104093567251,2.5427519940144636,0.011891140230521475,0.08813763679718278,-3.0641942388372914,FALSE,FALSE,FALSE
SDHAF4,-1.139872877664109,-0.3522608538011696,-2.5425313931687534,0.011898681022502433,0.08814149788704458,-3.064723789474483,FALSE,FALSE,FALSE
ZNF181,0.2837493034953114,0.06796527485380117,2.541743161489174,0.011924224246990632,0.0882368522083593,-3.066550858207473,FALSE,FALSE,FALSE
RGS7,-2.179335265558398,-0.2204400935672515,-2.541334672054629,0.011937957673968038,0.0882368522083593,-3.0675189632946376,FALSE,FALSE,FALSE
TFAP2E,-0.4607642936913902,-0.02874383040935672,-2.5413102849088536,0.011938445383257768,0.0882368522083593,-3.0675617875130277,FALSE,FALSE,FALSE
ZEB2,2.5052435639386212,0.21787349122807015,2.541282784323859,0.011939663260752027,0.0882368522083593,-3.0676401296625198,FALSE,FALSE,FALSE
ACOX1,-0.880436339727196,-0.2174699883040936,-2.5397479309357878,0.011990213667827284,0.08855830753719963,-3.0712232314737484,FALSE,FALSE,FALSE
BLZF1,-0.20671127621483373,-0.05044691228070176,-2.537958521861449,0.012049074103631402,0.08890938750445754,-3.0753840326156485,FALSE,FALSE,FALSE
TEX261,0.76888897655584,-2.6730994152037043e-5,2.5378824888857037,0.012051909647386646,0.08890938750445754,-3.075575399476273,FALSE,FALSE,FALSE
ZNF471,-0.2720132054560952,-0.027746461988304095,-2.5373643571882334,0.012068780557125647,0.08898156704361106,-3.0767696820449464,FALSE,FALSE,FALSE
