Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,ML_Selected,Significant,Validated
BCAT2,0.09079258333333341,-0.11849600416666665,0.19067793163764782,0.8489398856179354,0.9064792247486009,-6.23864541747253,FALSE,FALSE,FALSE
HSD11B1,-0.060404771885521624,-0.0752141625,-0.1903125344995601,0.8492258673901145,0.9067074822236632,-6.238712783334395,FALSE,FALSE,FALSE
RTF2,0.107060965488217,-0.0576315125,0.19013644368725757,0.8493636937808885,0.9067583360691502,-6.238745201910342,FALSE,FALSE,FALSE
ADCY3,0.09882701346801193,0.11970404999999999,0.19004897399333898,0.8494321580885664,0.9067583360691502,-6.238761294056584,FALSE,FALSE,FALSE
ASB7,-0.005596678451178532,0.0046609416666666655,-0.18997483612868019,0.8494901487083,0.9067583360691502,-6.238774945193911,FALSE,FALSE,FALSE
PUSL1,-0.027034597643097635,0.023674908333333335,-0.18984421699132034,0.8495923905634086,0.9067903821756341,-6.2387989525410275,FALSE,FALSE,FALSE
WDSUB1,-0.01311903030303018,0.03237113333333333,-0.18952012952232092,0.8498460803382082,0.9069020507828889,-6.238858447412139,FALSE,FALSE,FALSE
PDGFB,-0.04043807575757579,-9.489750000000011e-4,-0.18946342133225208,0.8498905038962266,0.9069020507828889,-6.238868833203005,FALSE,FALSE,FALSE
CA5B,-0.015558171717171512,-0.02432861666666667,-0.18940368328511772,0.8499372361562069,0.9069020507828889,-6.238879799398885,FALSE,FALSE,FALSE
MPG,-0.08764469528619592,-0.13018232500000002,-0.18934153142096607,0.8499859297238799,0.9069020507828889,-6.238891173028684,FALSE,FALSE,FALSE
LRRC75B,0.032336851010100726,-0.05460404583333333,0.18924622432905286,0.850060509702216,0.9069045594205986,-6.238908646711683,FALSE,FALSE,FALSE
PLXNA1,-0.06298327104377133,0.04141139166666667,-0.18893789714093662,0.8503019198043527,0.9070850386629951,-6.238965059063002,FALSE,FALSE,FALSE
TNFRSF1A,-0.18056760353535362,-0.38387059583333333,-0.1887051367088094,0.8504841501857081,0.9072023608641365,-6.239007594651859,FALSE,FALSE,FALSE
ADD2,-0.04864594696969636,0.03335302083333333,-0.1885151885054996,0.8506328684169847,0.9072839191168587,-6.239042267717498,FALSE,FALSE,FALSE
ATXN7,-0.013156549663299693,-0.005537129166666668,-0.18834367690090345,0.850767117334865,0.9073456069805665,-6.23907356258675,FALSE,FALSE,FALSE
STOM,0.29292720538720235,-0.6425848333333334,0.18823278565238336,0.8508539830643521,0.9073456069805665,-6.2390937528862285,FALSE,FALSE,FALSE
LHFPL4,-0.024816845959595657,0.027894904166666665,-0.1881643921705037,0.8509074961927502,0.9073456069805665,-6.239106227340078,FALSE,FALSE,FALSE
ZC3H12B,0.007429272727272728,0.0088464,0.1879562188793786,0.8510705005842473,0.9074288803567497,-6.239144116421042,FALSE,FALSE,FALSE
GRAMD4,0.06146732239057216,0.01364212083333333,0.18779183824427875,0.8511992578817162,0.9074288803567497,-6.239173988184319,FALSE,FALSE,FALSE
TDRD9,0.028364797979797948,0.020680999999999995,0.18765817372079938,0.8513038897726768,0.9074288803567497,-6.239198289006735,FALSE,FALSE,FALSE
TTC26,-0.00748174915824909,-0.0052550750000000005,-0.18762316326949607,0.8513313039692748,0.9074288803567497,-6.239204647806967,FALSE,FALSE,FALSE
C1QL1,-0.09928004124579033,-0.20102649583333335,-0.1875238786389457,0.8514090921782358,0.9074288803567497,-6.239222654528437,FALSE,FALSE,FALSE
UBA3,-0.037673266835016386,0.0013005374999999922,-0.1875109377397634,0.851419213084013,0.9074288803567497,-6.23922500882698,FALSE,FALSE,FALSE
CD302,0.019927409932659665,-0.02330769583333333,0.18697301197835495,0.8518404602401922,0.9077733570800441,-6.239322500696915,FALSE,FALSE,FALSE
DNAJC11,0.03673154966329995,-0.014025620833333335,0.1868076151500691,0.8519700221641662,0.9077733570800441,-6.239352406472386,FALSE,FALSE,FALSE
NEUROD1,0.01800074158249154,-0.03043437083333333,0.1866652517471652,0.8520814997523845,0.9077733570800441,-6.239378145761458,FALSE,FALSE,FALSE
EIF1,-0.6263375134680067,-1.122214025,-0.18664718379752304,0.8520956898772052,0.9077733570800441,-6.239381392816941,FALSE,FALSE,FALSE
IGLON5,-0.050132220538720455,0.07461225833333333,-0.18663667924250968,0.8521039173737973,0.9077733570800441,-6.239383290310161,FALSE,FALSE,FALSE
ZFP14,-0.016514097643097494,0.015559466666666669,-0.18637969187338646,0.8523051642579261,0.9078741309434755,-6.239429694893071,FALSE,FALSE,FALSE
MIS12,0.012610479797979756,-0.0021362916666666665,0.18627525337245202,0.8523869686026473,0.9078741309434755,-6.2394485283771814,FALSE,FALSE,FALSE
THOC5,-0.026874785353535213,0.03159927083333333,-0.18623891852412597,0.8524154292523599,0.9078741309434755,-6.239455078196977,FALSE,FALSE,FALSE
PTPA,-0.2529081885521895,-0.5015771166666666,-0.18498104373158986,0.8534008648373222,0.9088465868445648,-6.239681022020159,FALSE,FALSE,FALSE
APOL3,0.05192419360269346,-0.115867575,0.1847459623932567,0.8535850489867619,0.9089656411735885,-6.239723081503226,FALSE,FALSE,FALSE
CUX2,0.04128857996632985,0.058805095833333335,0.1842217421757567,0.853995798449021,0.9091586584604274,-6.239816680175409,FALSE,FALSE,FALSE
RPS5,0.6548751186868601,0.0017492124999999982,0.18415055909216507,0.8540515781168359,0.9091586584604274,-6.239829368635407,FALSE,FALSE,FALSE
NDUFS7,-0.2111663779461284,0.36610122083333335,-0.1840875678490675,0.8541009380049449,0.9091586584604274,-6.239840593317552,FALSE,FALSE,FALSE
SLC30A6,-0.00873009932659921,0.008841091666666667,-0.1840572865761208,0.8541246283714741,0.9091586584604274,-6.2398460043450585,FALSE,FALSE,FALSE
UNK,0.019863324074073964,0.008910079166666664,0.18404727633662477,0.8541324724861677,0.9091586584604274,-6.2398477874643685,FALSE,FALSE,FALSE
ELOVL2,-0.024516848484848395,-0.047047233333333334,-0.18396013719699297,0.8542007561211901,0.9091586584604274,-6.239863305423607,FALSE,FALSE,FALSE
RPL27,0.7851724570706893,0.8829514541666665,0.1837139279254412,0.8543937337606059,0.9092869741564815,-6.239907094908695,FALSE,FALSE,FALSE
PLEKHA1,0.09625534343434351,0.09080753333333333,0.18322251862503683,0.8547788479457916,0.9096197317406017,-6.239994351811332,FALSE,FALSE,FALSE
LTC4S,0.054152776936026395,-0.005927879166666652,0.18308650153892336,0.8548854497832813,0.9096560769049898,-6.240018462347415,FALSE,FALSE,FALSE
CLINT1,0.01751168350168358,-0.023406166666666662,0.1823377443323472,0.8554722895112442,0.9102033782817711,-6.240150883514404,FALSE,FALSE,FALSE
RPS4X,-0.48671271380471387,-0.3381336833333334,-0.18221863830811064,0.8555656903568131,0.910225623463832,-6.24017187924773,FALSE,FALSE,FALSE
GALNT16,-0.09145947895622898,-0.10320062916666667,-0.18199999100456138,0.8557370855292887,0.9103308350339533,-6.240210415793788,FALSE,FALSE,FALSE
FAM135B,0.017582484848484736,0.02672121666666667,0.18179540698876465,0.8558974251146021,0.9104242688697852,-6.240246447848103,FALSE,FALSE,FALSE
ZCWPW1,0.034553117003366975,0.01829422083333333,0.1813909404448667,0.8562145341422519,0.9106844295374938,-6.2403175234929575,FALSE,FALSE,FALSE
P4HA1,0.06590581397306368,-0.08798909583333332,0.1812801770906765,0.8563013879350477,0.9106880398562117,-6.2403369560630315,FALSE,FALSE,FALSE
GPT2,-0.24754516919191927,-0.5271844625000001,-0.18116063888128547,0.8563951077929282,0.9106880398562117,-6.240357921839923,FALSE,FALSE,FALSE
NDUFAF6,-0.02509480639730617,0.011428958333333333,-0.1810573204538058,0.8564760751482976,0.9106880398562117,-6.24037604761471,FALSE,FALSE,FALSE
PPARGC1B,-0.008963579966330296,0.010795070833333335,-0.1810165397382915,0.8565080489536481,0.9106880398562117,-6.240383192887673,FALSE,FALSE,FALSE
PRKCQ,0.008750195286195316,3.494666666666662e-4,0.1807109033282527,0.8567476883629709,0.9108227781266396,-6.240436692850168,FALSE,FALSE,FALSE
KAT14,0.024145629629629666,0.029439616666666668,0.18066988198394843,0.8567798528555066,0.9108227781266396,-6.240443866530029,FALSE,FALSE,FALSE
AP4M1,0.027860094276094708,-0.05066936666666667,0.180488749960652,0.85692188056231,0.9108966417490997,-6.24047552253121,FALSE,FALSE,FALSE
PRKN,-0.016365954545454416,0.036420441666666664,-0.17943297935249092,0.8577498100242297,0.9116995356526055,-6.240659407367611,FALSE,FALSE,FALSE
HCN3,0.017708930134679765,-7.364208333333352e-4,0.17896571846185616,0.8581162840842136,0.9120118556764336,-6.2407404463376865,FALSE,FALSE,FALSE
YRDC,-0.012619716329966151,0.0036670291666666666,-0.17865706231676756,0.8583583808677816,0.9121259813906638,-6.24079386197603,FALSE,FALSE,FALSE
SYNPO,0.31075144781144703,0.5046285833333333,0.17864362898180475,0.85836895477159,0.9121259813906638,-6.240796169132677,FALSE,FALSE,FALSE
RUNX1T1,0.02042151767676768,-9.327791666666697e-4,0.17849942648492717,0.8584820288981406,0.9121689392269657,-6.2408211066718415,FALSE,FALSE,FALSE
CERT1,-0.030269175925925738,0.04218495416666666,-0.17832139714100098,0.8586216891649807,0.9121926923804767,-6.24085184230357,FALSE,FALSE,FALSE
RNF111,-0.02490830723905705,0.001255504166666665,-0.17828569433998212,0.8586496839156462,0.9121926923804767,-6.240858008270376,FALSE,FALSE,FALSE
SLC25A23,-0.2674333501683501,0.05433233333333327,-0.1780590682450136,0.8588274971030456,0.9123044038600542,-6.240897072368156,FALSE,FALSE,FALSE
